@relation pc4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
0.011111,0.086022,0.166667,0,0.012821,0,0.086022,0.05848,0,0,0.042857,0.434343,0.098315,0.115942,1,0.091837,0.142857,0.007782,0.250252,0.013016,0.021739,0.038716,0.044776,0.013016,0.021538,1,0,0,0.09507,0.187773,0.02851,0.042087,0.021631,0.552632,0.024969,0.056547,0.085714,FALSE
0.033333,0.016129,0.125,0,0.012821,0,0.021505,0.017544,0,0,0.028571,1,0.022472,0,0,0.102041,0.142857,0.012429,0.079545,0.002099,0.011442,0.020579,0.149254,0.002099,0.010932,0.323232,0,0,0.021127,0.052402,0.015681,0.021932,0.024958,0.368421,0.031211,0.051172,0.095238,FALSE
0.111111,0.086022,0.041667,0.014706,0.038462,0.080645,0.086022,0.036257,0.075269,0.4,0.057143,0.555556,0.08427,0.086957,0,0.142857,0,0.006215,0.194176,0.006262,0.01373,0.028253,0.059701,0.006262,0.013352,0.777778,0.086022,0.080645,0.077465,0.087336,0.019244,0.032009,0.011647,0.342105,0.053683,0.13438,0.138095,FALSE
0.066667,0.193548,0.083333,0.088235,0.051282,0.16129,0.193548,0.026901,0.129032,0.4,0.014286,0.10101,0.174157,0.246377,0,0.382653,0.142857,0.016917,0.313221,0.044325,0.058352,0.093129,0.029851,0.044325,0.058603,0.949495,0.193548,0.16129,0.15493,0.087336,0.077691,0.093657,0.051581,0.605263,0.114856,0.126424,0.385714,FALSE
0.188889,0.053763,0.041667,0.088235,0.128205,0.053763,0.053763,0.016374,0.053763,0.4,0.028571,0.494949,0.064607,0,0,0.188776,0,0.023024,0.137092,0.011559,0.035469,0.059993,0.089552,0.011559,0.034912,0.161616,0.053763,0.053763,0.06338,0.034934,0.042053,0.066983,0.041597,0.394737,0.088639,0.324554,0.204762,TRUE
0,0.010753,0.041667,0,0,0,0.010753,0.116959,0,0,0,0.494949,0.016854,0,0,0,0.285714,0,0,0,0,0,0,0,0,0.494949,0,0,0.017606,0.056769,0,0,0,0,0.017478,0,0,FALSE
0.011111,0.010753,0.041667,0,0,0.010753,0.010753,0.019883,0.010753,0.4,0,0.494949,0.016854,0,0,0.061224,0.285714,0.008178,0.198668,0.008623,0.018307,0.033833,0.059701,0.008623,0.017972,0.494949,0.010753,0.010753,0.017606,0.056769,0.019244,0.041494,0.016639,0.5,0.018727,0,0.057143,FALSE
0.088889,0.010753,0.125,0.058824,0.051282,0.010753,0.010753,0.015205,0.010753,0.4,0,0.494949,0.019663,0,0,0.056122,0.142857,0.01336,0.091085,0.002964,0.01373,0.024416,0.134328,0.002964,0.013467,0.494949,0.010753,0.010753,0.021127,0.030568,0.017819,0.026675,0.028286,0.421053,0.034956,0.452698,0.071429,FALSE
0,0,0,0,0,0,0,0.116959,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000698,0,0,0.000076,1,0,0,0,0.436681,0,0.001186,0,0.052632,0,0,0,FALSE
0.077778,0,0.041667,0,0.24359,0,0,0.038596,0,0,0,1,0.002809,0,0,0.015306,0.285714,0.004029,0.015491,0.000026,0.001144,0.002442,0.746269,0.000026,0.00069,1,0,0,0.003521,0.0131,0.001426,0.002964,0.003328,0.105263,0.036205,0.928402,0.014286,FALSE
