@relation ar5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data
0.010593,0.038462,0,0,0.003584,0.027586,0.115385,0.039832,0.02029,0.040936,0.028278,0.016073,0.170748,0.089338,0.003408,0.016073,0.003408,0,0,0.15,0,0,0,0.182326,0,0.15,0.3,0.143093,1,false
0.063559,0.125,0.168539,0,0.007168,0.144828,0.038462,0.050314,0.031884,0.128655,0.039417,0.028703,0.665663,0.010044,0.001442,0.028703,0.001442,0,0,0,0,0,0,0.147597,0,0,0,0.013258,0,false
0.226695,0.221154,0.078652,0.375,0.275986,0.206897,0.769231,0.463312,0.428986,0.292398,0.443016,0.34886,0,1,0.560834,0.348862,0.560834,0.381356,0.381356,0.05,0.37069,0.6,0.315217,0.472844,0.4186,0.05,0.003333,0.448208,0,false
0.254237,0.240385,0.134831,0.5,0.297491,0.393103,0.923077,0.310273,0.318841,0.473684,0.315338,0.276365,0.025337,0.43727,0.19993,0.276364,0.19993,0.29661,0.29661,0.45,0.284483,0.24,0.304348,0.419898,0.42424,0.45,0.031034,0.383026,0,true
0.019068,0.028846,0,0,0.021505,0.062069,0.153846,0.060797,0.049275,0.076023,0.053985,0.033623,0.159496,0.096211,0.006817,0.033623,0.006817,0.110169,0.110169,0.05,0.112069,0.24,0.076087,1,0.4,0.05,0.0125,1,0,false
0.300847,0.307692,0.11236,0.5,0.358423,0.282759,0.538462,0.33543,0.344928,0.321637,0.341045,0.275053,0.029596,0.398437,0.182107,0.275055,0.182107,0.389831,0.389831,0,0.396552,0.32,0.402174,0.467082,0.4,0,0,0.431195,0,false
0.019068,0.019231,0,0,0.02509,0.055172,0.307692,0.027254,0.028986,0.093567,0.028278,0.019682,0.180408,0.084052,0.003824,0.019682,0.003824,0.033898,0.033898,0.05,0.034483,0,0.043478,0.546968,0.4,0.05,0.02,0.61049,0,false
1,1,1,0.25,1,1,1,1,1,1,1,1,0.01224,0.619779,1,1,1,1,1,0.2,1,1,1,0.416849,0.40688,0.2,0.004301,0.315718,0,true
0.222458,0.278846,0.123596,0.375,0.232975,0.296552,0.769231,0.272537,0.250725,0.368421,0.25964,0.216828,0.026716,0.423928,0.15296,0.216826,0.15296,0.228814,0.228814,0.05,0.224138,0.28,0.217391,0.376797,0.4154,0.05,0.004762,0.308338,0,true
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.15,0,0,0,0.23094,0,0.15,0.3,0.324861,0,false
0.233051,0.163462,0.011236,0.125,0.329749,0.206897,0.5,0.312369,0.282609,0.251462,0.294773,0.226013,0.022875,0.463185,0.173389,0.226013,0.173389,0.220339,0.220339,0.1,0.215517,0.16,0.217391,0.254992,0.416,0.1,0.009524,0.293251,0,false
0.050847,0.076923,0,0,0.057348,0.089655,0.192308,0.06499,0.053623,0.105263,0.058269,0.039036,0.170748,0.089338,0.007332,0.039036,0.007332,0.033898,0.033898,0.1,0.034483,0.04,0.032609,0.217054,0.4,0.1,0.05,0.212037,0,false
0.07839,0.076923,0.033708,0,0.09319,0.089655,0.307692,0.073375,0.072464,0.122807,0.072836,0.049861,0.10464,0.14737,0.014109,0.049861,0.014109,0.067797,0.067797,0,0.068966,0.16,0.043478,0.174479,0.4,0,0,0.17772,0,false
0.430085,0.365385,0.314607,0.5,0.491039,0.448276,0.538462,0.532495,0.524638,0.461988,0.527849,0.456618,0.028062,0.411644,0.309843,0.45662,0.309843,0.440678,0.440678,0.85,0.448276,0.48,0.434783,0.360359,0.4,0.85,0.041463,0.319626,0,true
0.309322,0.365385,0.146067,0.5,0.340502,0.406897,0.961538,0.385744,0.4,0.491228,0.394173,0.346728,0.016411,0.547628,0.310302,0.346726,0.310302,0.271186,0.271186,0,0.25,0.12,0.304348,0.362211,0.44136,0,0,0.31041,0,false
0.163136,0.25,0.101124,0,0.150538,0.344828,0.346154,0.180294,0.178261,0.345029,0.179092,0.148926,0.133592,0.115828,0.032441,0.148924,0.032441,0.084746,0.084746,1,0.034483,0.04,0.097826,0.249566,1,1,0.2,0.182991,0,false
0.021186,0.038462,0,0,0.021505,0.041379,0.076923,0.02935,0.018841,0.046784,0.023136,0.013777,0.333913,0.038734,0.001557,0.013777,0.001557,0,0,0.35,0,0,0,0.071823,0,0.35,0.7,0.082504,0.5,false
0.010593,0.019231,0,0,0.010753,0.013793,0.038462,0.016771,0.008696,0.017544,0.011997,0.006233,0.391552,0.030434,0.00072,0.006232,0.00072,0,0,0.1,0,0,0,0.121547,0,0.1,0.2,0.143093,0,false
0.044492,0.057692,0,0,0.053763,0.075862,0.307692,0.075472,0.050725,0.111111,0.06084,0.041168,0.088006,0.173094,0.013675,0.041168,0.013675,0.016949,0.016949,0.1,0.008621,0,0.021739,0.158011,0.8,0.1,0.066667,0.171049,0,false
0.07839,0.125,0,0,0.086022,0.151724,0.423077,0.125786,0.110145,0.192982,0.116538,0.0866,0.070229,0.211002,0.032738,0.086602,0.032738,0.076271,0.076271,0,0.068966,0.08,0.076087,0.341587,0.45,0,0,0.307556,0,false
0.127119,0.173077,0.101124,0,0.11828,0.262069,0.269231,0.18239,0.146377,0.263158,0.161097,0.12662,0.12249,0.126417,0.029873,0.12662,0.029873,0.084746,0.084746,0.7,0.086207,0,0.108696,0.361438,0.4,0.7,0.12727,0.268931,0,false
0.048729,0.048077,0.011236,0,0.060932,0.089655,0.346154,0.092243,0.063768,0.128655,0.075407,0.051993,0.073112,0.203874,0.01965,0.051991,0.01965,0.033898,0.033898,0.1,0.025862,0.04,0.032609,0.204423,0.53332,0.1,0.05,0.220999,0.5,false
0.038136,0.048077,0.011236,0,0.043011,0.068966,0.269231,0.079665,0.071014,0.099415,0.07455,0.048548,0.086191,0.176386,0.01617,0.048547,0.01617,0.067797,0.067797,0.2,0.068966,0.16,0.043478,0.36822,0.4,0.2,0.08,0.35647,0.5,false
