@relation ar1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data
0.204301,0,0,0,0.2375,0.23913,0.235294,0.102564,0.127072,0.254237,0.11745,0.089552,0.28866,0.068976,0.008859,0.1,0.00886,0.131579,0.131579,0,0.131579,0.1,0.111111,0.12766,0.5,0,0,0.340426,0.333333,false
0.172043,0,0.1,0,0.1625,0.195652,0.764706,0.25641,0.237569,0.372881,0.244966,0.201493,0.010309,0.742345,0.153015,0.2,0.153018,0.157895,0.157895,0,0.131579,0.1,0.185185,0.574468,0.6,0,0,0.638298,0.666667,false
0.043011,0,0,0,0.05,0.108696,0.235294,0.042735,0.044199,0.152542,0.043624,0.031509,0.309278,0.06279,0.003057,0.025,0.003057,0.052632,0.052632,0.052632,0.052632,0.1,0.037037,0.425532,0.5,0.052632,0.083333,0.638298,0,false
0.376344,0,0.433333,0.5,0.275,0.695652,0.764706,0.470085,0.41989,0.762712,0.439597,0.429519,0.051546,0.355707,0.161694,0.425,0.161695,0.157895,0.157895,0.315789,0.105263,0.1,0.148148,0.170213,0.75,0.315789,0.2,0.234043,0.333333,false
0.354839,0,0.433333,0,0.25,0.586957,0.647059,0.410256,0.375691,0.644068,0.389262,0.365672,0.061856,0.312713,0.122502,0.375,0.122503,0.184211,0.184211,0.210526,0.105263,0.1,0.185185,0.297872,0.875,0.210526,0.111667,0.297872,0,false
0.010753,0,0,0,0.0125,0.021739,0.117647,0.008547,0.01105,0.050847,0.010067,0.006633,0.484536,0.030931,0.000496,0,0.000495,0,0,0,0,0,0,0.425532,0,0,0,0.638298,0,false
1,0,0.433333,0,1,0.76087,1,1,1,0.881356,1,1,0,1,1,1,1,1,1,0.684211,1,1,1,0.446809,0.5,0.684211,0.076667,0.553191,0.333333,true
0.129032,0,0.166667,0,0.0875,0.26087,0.352941,0.179487,0.149171,0.305085,0.161074,0.127695,0.123711,0.175379,0.026019,0.125,0.026021,0.052632,0.052632,0.157895,0.052632,0.1,0.037037,0.191489,0.5,0.157895,0.25,0.234043,0,false
0.193548,0,0,0,0.225,0.23913,0.235294,0.102564,0.127072,0.254237,0.11745,0.089552,0.28866,0.068976,0.008859,0.1,0.00886,0.131579,0.131579,0,0.131579,0.1,0.111111,0.148936,0.5,0,0,0.361702,0.333333,false
0.215054,0,0.166667,0,0.1875,0.304348,0.411765,0.316239,0.259669,0.355932,0.281879,0.228027,0.061856,0.312713,0.076768,0.225,0.076768,0.210526,0.210526,0,0.210526,0.4,0.148148,0.340426,0.5,0,0,0.425532,0,false
0.215054,0,0.3,0.5,0.1375,0.26087,0.647059,0.222222,0.243094,0.389831,0.234899,0.196517,0.041237,0.411073,0.085269,0.2,0.08527,0.157895,0.157895,0.052632,0.131579,0.1,0.185185,0.702128,0.6,0.052632,0.028333,0.510638,0,false
0.043011,0,0,0,0.05,0.043478,0.176471,0.034188,0.044199,0.084746,0.040268,0.024046,0.216495,0.098051,0.00331,0.025,0.003312,0.052632,0.052632,0,0.052632,0,0.074074,0.787234,0.5,0,0,1,0,false
0.204301,0,0.166667,0,0.175,0.347826,0.529412,0.333333,0.259669,0.423729,0.288591,0.24461,0.051546,0.355707,0.092575,0.25,0.092577,0.052632,0.052632,0.315789,0,0,0.074074,0.12766,0,0.315789,0.333333,0.234043,0,false
0.043011,0,0,0,0.05,0.108696,0.235294,0.042735,0.044199,0.152542,0.043624,0.031509,0.309278,0.06279,0.003057,0.025,0.003057,0.052632,0.052632,0.052632,0.052632,0.1,0.037037,0.425532,0.5,0.052632,0.083333,0.638298,0,false
0.322581,0,0.166667,0,0.3125,0.326087,0.529412,0.273504,0.292818,0.40678,0.285235,0.239635,0.061856,0.312713,0.080625,0.25,0.080624,0.236842,0.236842,0,0.236842,0.1,0.259259,0.361702,0.5,0,0,0.468085,0,false
0.053763,0,0.133333,0,0.0125,0.086957,0.058824,0.051282,0.033149,0.084746,0.040268,0.024046,0.463918,0.033406,0.001606,0.025,0.001607,0,0,0.157895,0,0,0,0.425532,0,0.157895,0.5,0.234043,0,false
0.043011,0,0,0,0.05,0.108696,0.235294,0.042735,0.044199,0.152542,0.043624,0.031509,0.309278,0.06279,0.003057,0.025,0.003057,0.052632,0.052632,0.052632,0.052632,0.1,0.037037,0.425532,0.5,0.052632,0.083333,0.638298,0,false
0.043011,0,0,0,0.05,0.108696,0.235294,0.042735,0.044199,0.152542,0.043624,0.031509,0.309278,0.06279,0.003057,0.025,0.003057,0.052632,0.052632,0.052632,0.052632,0.1,0.037037,0.425532,0.5,0.052632,0.083333,0.638298,0,false
0.494624,0,0.233333,0,0.4875,0.456522,0.529412,0.42735,0.447514,0.508475,0.439597,0.38806,0.051546,0.355707,0.146196,0.4,0.146198,0.394737,0.394737,0,0.394737,0.1,0.481481,0.446809,0.5,0,0,0.553191,0,false
0.010753,0,0,0,0.0125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.425532,0,0,0,0.638298,0,false
0.086022,0,0,0,0.1,0.130435,0.352941,0.128205,0.099448,0.20339,0.110738,0.079602,0.082474,0.250232,0.022442,0.075,0.022446,0.026316,0.026316,0,0,0,0.037037,0.148936,0,0,0,0.361702,0,false
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.787234,0,0,0,1,0,false
0.021505,0,0,0,0.025,0.021739,0.176471,0.017094,0.022099,0.067797,0.020134,0.012438,0.247423,0.083514,0.001646,0.025,0.001647,0.026316,0.026316,0,0.026316,0,0.037037,0.787234,0.5,0,0,1,0,false
0.408602,0,0.166667,0,0.4125,0.5,0.529412,0.34188,0.337017,0.542373,0.338926,0.30597,0.082474,0.250232,0.083981,0.3,0.083981,0.447368,0.447368,0,0.447368,0.1,0.555556,0.702128,0.5,0,0,0.787234,0,false
0.064516,0,0.066667,0,0.05,0.065217,0.176471,0.034188,0.038674,0.101695,0.036913,0.023217,0.298969,0.065883,0.00238,0.025,0.002383,0.026316,0.026316,0.052632,0.026316,0,0.037037,0.425532,0.5,0.052632,0.083333,0.468085,0,false
0.021505,0,0,0,0.025,0.043478,0.176471,0.025641,0.016575,0.084746,0.020134,0.013267,0.278351,0.072069,0.001554,0.025,0.001553,0,0,0,0,0,0,0.255319,0,0,0,0.468085,0.333333,false
0.247312,0,0.333333,0,0.1625,0.369565,0.823529,0.333333,0.303867,0.525424,0.315436,0.282753,0.030928,0.484689,0.142477,0.3,0.142476,0.184211,0.184211,0.052632,0.157895,0.1,0.222222,0.723404,0.585,0.052632,0.023333,0.531915,0,false
0.322581,0,0.166667,0,0.3125,0.326087,0.529412,0.273504,0.292818,0.40678,0.285235,0.239635,0.061856,0.312713,0.080625,0.25,0.080624,0.236842,0.236842,0,0.236842,0.1,0.259259,0.361702,0.5,0,0,0.468085,0,false
