@relation ar3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects {false,true}

@data
0.010495,0.017241,0,0,0.012788,0.021739,0.035714,0.014035,0.008653,0.018634,0.01016,0.005344,0.388929,0.036931,0.000526,0.005344,0.000526,0,0,0.018349,0,0,0,0.083515,0,0.018349,0.083333,0.129187,0,false
0.022489,0.043103,0.030769,0,0.01023,0.07971,0.142857,0.040351,0.038319,0.086957,0.038462,0.025032,0.210316,0.083947,0.003354,0.025032,0.003354,0.065574,0.065574,0,0.065574,0,0.095238,1,0.5,0,0,0.709729,0,false
0.029985,0.043103,0.005128,0,0.035806,0.101449,0.214286,0.035088,0.034611,0.118012,0.034107,0.024188,0.220986,0.079222,0.003107,0.024188,0.003107,0.016393,0.016393,0.06422,0.008197,0,0.02381,0.124155,1,0.06422,0.097221,0.173351,1,false
0.254873,0.508621,0.112821,0.193548,0.227621,0.528986,1,0.477193,0.425216,0.621118,0.446299,0.410069,0.002557,0.904957,0.420657,0.41007,0.420657,0.442623,0.442623,0,0.434426,0.424242,0.464286,0.328116,0.50945,0,0,0.319619,0,true
0.025487,0.077586,0.041026,0,0,0.057971,0.035714,0.024561,0.017305,0.049689,0.019594,0.011813,0.460516,0.027798,0.000805,0.011813,0.000805,0,0,0.082569,0,0,0,0.248012,0,0.082569,0.375,0.056619,0,false
0.02099,0.051724,0,0,0.02046,0.057971,0.071429,0.029825,0.018541,0.055901,0.022496,0.013781,0.310439,0.051424,0.00138,0.013781,0.00138,0,0,0.009174,0,0,0,0.056597,0,0.009174,0.041667,0.069426,0.5,false
0.002999,0,0,0,0.005115,0.007246,0,0,0.001236,0,0,0,1,0,0,0,0,0,0,0.027523,0,0,0,0.142735,0,0.027523,0.125,0.274322,0,false
0.167916,0.362069,0.020513,0.032258,0.168798,0.289855,0.571429,0.196491,0.181706,0.341615,0.187228,0.154268,0.035847,0.396299,0.072773,0.154267,0.072773,0.098361,0.098361,0.091743,0.098361,0.060606,0.107143,0.099252,0.5,0.091743,0.041667,0.110257,0,false
0.05997,0.077586,0.035897,0.129032,0.061381,0.152174,0.392857,0.080702,0.082818,0.192547,0.081277,0.060751,0.082652,0.213148,0.016757,0.060752,0.016757,0.114754,0.114754,0.045872,0.114754,0.181818,0.095238,0.248012,0.5,0.045872,0.023148,0.28782,0,true
0.091454,0.155172,0.035897,0.032258,0.092072,0.224638,0.392857,0.122807,0.110012,0.254658,0.114659,0.090001,0.077485,0.225156,0.025602,0.090001,0.025602,0.098361,0.098361,0.073394,0.098361,0.090909,0.107143,0.187276,0.5,0.073394,0.033333,0.210825,0,false
